zipcode,SQFT_LIV,NBR_BEDRM,YR_BLT,CALC_ACRES,count,mean,std,min,25%,50%,75%,max
13020,1600.0,3.0,1890.0,0.52,48.0,103.91,37.65,40.0,76.35,97.2,123.88,213.0
13021,2100.0,3.0,1860.0,2.73,3.0,177.13,93.97,69.3,144.95,220.6,231.05,241.5
13027,1728.0,3.0,1978.0,0.33,10720.0,157.45,94.15,1.0,100.0,141.8,210.0,756.0
13029,1636.0,3.0,1980.0,0.37,2552.0,138.02,93.71,0.8,90.0,130.0,182.0,1055.0
13030,1152.0,3.0,1963.0,0.2,670.0,106.13,48.56,30.0,74.0,83.0,129.5,535.0
13031,1632.0,3.0,1963.0,0.33,5606.0,160.03,72.31,18.0,114.9,141.0,181.7,860.0
13035,1900.0,3.0,1970.0,2.83,90.0,200.93,107.94,42.0,135.0,183.0,244.5,730.0
13037,2433.0,4.0,2003.0,0.66,135.0,223.89,83.6,34.3,170.0,231.2,279.2,497.4
13039,1724.0,3.0,1987.0,0.3,6179.0,168.48,64.03,15.0,125.0,160.0,200.0,700.0
13041,1580.0,3.0,1978.0,0.25,4293.0,7.22,11.43,0.7,4.5,5.8,7.8,297.6
13051,1863.5,3.0,1880.0,0.54,32.0,81.24,31.47,5.0,67.25,77.35,94.75,173.6
13052,882.0,2.0,1934.0,0.31,57.0,162.05,77.92,8.0,120.0,158.0,187.0,449.0
13057,1520.0,3.0,1959.0,0.22,5273.0,125.92,55.33,13.6,88.4,111.2,146.9,393.0
13060,1595.0,3.0,1960.0,0.68,787.0,138.15,55.08,20.0,102.0,128.8,160.6,553.0
13063,1677.0,3.0,1970.0,2.5,649.0,142.12,65.98,13.0,91.0,133.6,179.0,467.0
13066,1999.5,3.0,1960.0,0.44,4676.0,224.75,133.06,20.2,143.0,194.6,263.7,2940.0
13077,1409.0,3.0,1920.0,1.88,130.0,233.51,194.78,20.0,97.5,170.7,316.58,1017.1
13078,2136.0,3.0,1981.5,0.64,3292.0,225.72,133.11,10.2,132.0,200.0,283.9,2480.0
13080,1534.0,3.0,1945.0,0.69,972.0,120.72,59.18,10.0,84.0,110.0,145.0,500.0
13082,1523.0,3.0,1958.0,0.74,707.0,127.13,55.89,14.5,91.45,121.1,152.0,467.9
13084,1688.0,3.0,1967.0,1.96,1469.0,139.82,84.97,0.92,88.0,129.7,183.0,678.5
13088,1484.0,3.0,1963.0,0.21,6796.0,91.97,58.87,0.6,69.0,97.0,127.0,440.0
13090,1632.0,3.0,1977.0,0.22,8923.0,25.32,50.4,0.01,4.9,6.4,8.6,524.8
13104,2306.0,4.0,1979.0,0.54,5274.0,244.73,123.89,16.1,160.62,221.7,297.8,1990.0
13108,1696.0,3.0,1963.0,0.89,2154.0,164.64,67.05,4.5,120.0,152.0,194.0,612.5
13110,1311.0,3.0,1947.0,0.98,1151.0,80.93,102.84,0.41,3.11,5.01,148.35,850.0
13112,1600.0,3.0,1959.0,1.02,755.0,134.98,68.14,20.0,90.0,120.0,165.0,650.0
13116,1514.0,3.0,1972.0,0.24,1205.0,129.96,46.49,26.9,102.3,122.5,144.7,354.0
13120,1344.0,3.0,1933.0,0.24,698.0,87.14,43.97,13.5,60.6,75.0,100.0,392.6
13122,1494.0,3.0,1968.0,1.94,54.0,116.62,50.54,40.0,80.62,103.0,145.0,275.0
13135,1956.0,3.0,1981.0,0.95,573.0,171.82,85.55,20.0,100.0,160.0,235.0,690.0
13138,1693.5,3.0,1880.0,0.48,20.0,81.94,29.18,26.0,64.5,80.5,92.62,149.0
13141,1272.0,2.0,1947.0,1.28,75.0,129.7,102.24,28.5,81.5,115.0,141.0,803.5
13152,1834.5,3.0,1956.0,0.81,3580.0,424.39,569.43,1.0,187.0,275.87,445.03,14000.0
13153,1473.0,3.0,1886.0,0.5,150.0,111.99,40.6,30.0,88.78,107.2,128.3,253.8
13158,1438.0,3.0,1974.0,11.0,13.0,130.33,105.33,45.0,62.0,72.0,232.8,362.0
13159,1646.0,3.0,1965.0,1.8,1554.0,138.86,106.94,0.14,58.78,133.95,207.45,801.22
13164,1848.0,3.0,1978.0,0.57,903.0,158.27,66.35,17.0,100.0,149.9,211.5,455.1
13166,1930.0,3.0,1978.5,1.0,32.0,162.35,84.45,18.0,114.98,155.5,201.38,420.0
13202,1272.0,3.0,1989.0,0.14,151.0,69.65,39.36,14.0,42.0,53.1,110.65,182.4
13203,1738.0,3.0,1918.0,0.12,3135.0,78.58,51.8,12.0,49.0,62.0,89.4,650.0
13204,1712.0,4.0,1910.0,0.11,4499.0,53.74,23.5,5.0,37.35,51.0,68.0,532.0
13205,1492.0,3.0,1926.0,0.15,4896.0,53.23,21.59,3.0,38.0,50.0,68.12,282.0
13206,1392.0,3.0,1930.0,0.12,5108.0,72.95,18.14,15.0,61.7,70.9,82.0,360.5
13207,1508.0,3.0,1930.0,0.15,4553.0,69.07,31.16,10.0,50.0,62.6,81.7,295.5
13208,1408.0,3.0,1920.0,0.11,5795.0,64.37,19.77,10.0,50.0,64.0,77.0,180.0
13209,1432.0,3.0,1956.0,0.2,4568.0,101.92,42.24,18.0,73.9,92.5,120.29,457.0
13210,1741.0,3.0,1928.0,0.14,3616.0,92.93,35.82,15.0,68.3,90.0,110.0,500.0
